,pl_name,pl_orbper_yrs,st_mass_x,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_bmasse,pl_bmassj,st_teff,st_rad,ra,dec,sy_dist,spec_type,st_rad_m,st_lum,st_lum_sol,r_0,r_1,hab_zone
2301,Kepler-1653 b,0.383989171839249,0.7060000000000001,1,1,140.2520450142857,0.4699,,,4791.333333333333,0.7733333333333333,296.457702,41.266021,,K,538008000.0,1.0869876527699246e+26,0.2839570670767828,0.7319617825325783,0.5080775415737452,0
2302,Kepler-1654 b,2.868817522245038,1.01,1,1,1047.8356,2.026,158.915,0.5,5597.0,1.18,282.18569489999993,44.4344617,568.117,G5 V,820926000.0,4.712494426823485e+26,1.231059150162875,1.5240581070007988,1.0578963474586014,0
2303,Kepler-1655 b,0.03250623389117043,1.04125,1,1,11.87290192875,0.10258333333333332,5.0,0.01573,6084.54,1.0644444444444447,286.6895986,39.2120802,213.26,G0 V,740534000.0000002,5.3557785148469656e+26,1.3991061951010881,1.6247532149913397,1.1277919678820074,0
2304,Kepler-1656 b,0.08645765630390144,1.0175,1,1,31.578658965,0.19695,48.6,0.15291,5709.375,1.0275,284.4722473000001,39.911889,185.875,G,714831750.0,3.868864722546063e+26,1.010675214876192,1.3809179438659374,0.9585382881697774,0
2305,Kepler-1658 b,0.010539005831622176,1.432857142857143,1,1,3.84937188,0.054933333333333334,1868.8404,5.88,6203.7814285714285,3.051428571428571,294.35655589999993,38.94734239999999,788.2380000000002,F,2122878857.1428568,4.756614741611661e+27,12.425848332318862,4.8420033925465,3.360985831070032,0
2306,Kepler-166 b,0.020945229374401093,0.8577777777777778,1,3,7.650245029,0.0716,,,5337.090909090909,0.7727272727272729,293.16009769999994,48.881207399999994,603.5299999999999,G,537586363.6363637,1.67084625690825e+26,0.43648021340340903,0.9074952189732254,0.6299207839110399,0
2307,Kepler-166 c,0.09379796753456537,0.8577777777777778,1,3,34.259707642,0.19433333333333336,,,5337.090909090909,0.7727272727272727,293.16009769999994,48.881207399999994,603.5299999999999,G,537586363.6363636,1.670846256908249e+26,0.4364802134034088,0.9074952189732252,0.6299207839110398,0
2308,Kepler-166 d,0.004254627570157426,0.8577777777777776,1,3,1.55400272,0.02468,,,5329.5,0.776,293.16009769999994,48.881207399999994,603.5299999999999,G,539863200.0,1.675463287415251e+26,0.4376863342255097,0.9087481896122837,0.6307905099775488,0
2309,Kepler-1661 b,0.47928815879534564,0.84,2,1,175.06,0.633,17.0,0.053489999999999996,5100.0,0.76,285.16709269999996,41.966938299999995,410.60699999999997,K,528732000.0,1.3476387690041699e+26,0.35204774529889493,0.8150098336006992,0.565723788449078,1
2310,Kepler-1663 b,0.0481987280219028,0.5650000000000001,1,1,17.60458541,0.10758000000000001,,,3801.25,0.56625,290.40151560000004,48.8227234,337.926,K,393940125.0,2.30880774180958e+25,0.06031368186545403,0.3373416661874718,0.2341593898986019,0
2311,Kepler-1664 b,0.039388941238877484,1.024,1,1,14.3868107875,0.11668,,,5810.80375,1.114,286.8527156999999,49.26166679999999,626.6909999999999,G,775009800.0000001,4.879561786674243e+26,1.2747026610956746,1.5508382767258089,1.0764852999442527,0
2312,Kepler-1665 b,0.03273034869267624,0.80875,1,1,11.954759859999998,0.09440000000000001,,,5073.8150000000005,0.89125,290.39624,41.0399229,335.51499999999993,K,620042625.0,1.815529062156395e+26,0.47427613953928816,0.9459707398435568,0.6566278450186972,0
2313,Kepler-1666 b,0.07076660450034224,1.14375,1,2,25.847502293750004,0.17668,,,6298.0,1.0799999999999998,297.95160710000005,46.26470239999999,1379.37,F,751355999.9999999,6.328834566778571e+26,1.6533005660341096,1.7661922404577133,1.225969214367336,0
2314,Kepler-1666 c,0.11147357822039697,1.14375,1,2,40.71572444499999,0.23904,,,6298.0,1.0799999999999998,297.95160710000005,46.26470239999999,1379.37,F,751355999.9999999,6.328834566778571e+26,1.6533005660341096,1.7661922404577133,1.225969214367336,0
2315,Kepler-1667 b,0.22882463405544148,1.14125,1,1,83.57819758875,0.39432000000000006,,,6079.8275,1.42625,283.53295049999997,48.0943604,626.819,F,992242125.0,9.585658482360135e+26,2.504090512633264,2.1736372927515117,1.5087895547675607,0
2316,Kepler-1668 b,0.04225599380561259,1.0250000000000001,1,1,15.4340017375,0.1236,,,5733.875,0.95625,297.3523076000001,46.09593089999999,1335.64,G,665263125.0,3.4087989514173774e+26,0.8904908441529199,1.2962142585476033,0.8997428138352143,0
2317,Kepler-1669 b,0.026042943028747437,0.61375,1,1,9.512184941250002,0.07344,,,4195.75,0.62125,297.43038260000003,39.8478795,543.444,K,432203625.0,4.1251222521012925e+25,0.10776181431821558,0.45091482339672234,0.31299406662720036,0
2318,Kepler-167 b,0.012027806919295624,0.7710000000000001,2,4,4.3931564772727265,0.04794285714285714,,,4880.3341666666665,0.7508333333333334,292.65852529999995,38.3455558,341.90799999999996,K4,522354750.0,1.1029375875445459e+26,0.2881237167044268,0.7373124535495761,0.5117916094949965,0
2319,Kepler-167 c,0.020276817529711905,0.771,2,4,7.406107602727274,0.06782857142857143,,,4880.3341666666665,0.7508333333333334,292.65852529999995,38.3455558,341.90799999999996,K4,522354750.0,1.1029375875445459e+26,0.2881237167044268,0.7373124535495761,0.5117916094949965,0
2320,Kepler-167 d,0.05969574017796032,0.7710000000000001,2,4,21.803869100000007,0.13946666666666666,,,4888.000909090909,0.7554545454545455,292.65852529999995,38.3455558,341.90799999999996,K4,525569727.2727273,1.123588787481331e+26,0.29351849202751595,0.7441830927423808,0.5165607348146849,0
2321,Kepler-167 e,2.647264878458981,0.7657142857142857,2,4,966.9134968571428,1.6732,,,4884.4175,0.75,292.6585253,38.3455558,341.90799999999996,K4,521775000.0,1.104178403157817e+26,0.2884478587141633,0.7377270788421093,0.5120794138644755,0
2322,Kepler-1670 b,0.05612540660506503,1.08375,1,1,20.499804762500002,0.15156,,,6088.125,1.23875,290.3264599,43.121755,2065.98,F,861798375.0,7.270548654854222e+26,1.8993073811008938,1.8930395749338778,1.3140179122554172,0
2323,Kepler-1671 b,0.011411035284052018,0.8287500000000001,1,1,4.1678806375,0.047060000000000005,,,5233.83125,0.8687499999999999,291.7484295,39.4467817,357.0590000000001,G,604389374.9999999,1.9531432916583752e+26,0.5102255202869319,0.9811674989107311,0.681059015122059,0
